Shop,Item,Date,Whether_holiday,Current_Price,Maximum_price,Total_qty_sold
E,1,6/18/2019,FALSE,11.95,11.95,92
E,1,6/25/2019,FALSE,11.95,11.95,85
E,1,6/24/2021,FALSE,12.95,12.95,92
E,1,9/16/2021,FALSE,12.95,12.95,86
G,1,8/20/2019,FALSE,11.95,11.95,88
G,1,1/28/2021,FALSE,12.95,12.95,100
G,1,3/4/2021,FALSE,12.95,12.95,78
G,1,4/8/2021,FALSE,12.95,12.95,100
G,1,4/15/2021,FALSE,12.95,12.95,92
G,1,6/24/2021,FALSE,12.95,12.95,91
G,1,11/18/2021,FALSE,12.95,12.95,100
G,1,6/29/2022,FALSE,12.95,12.95,95
G,1,7/27/2022,FALSE,12.95,12.95,95
G,1,8/17/2022,FALSE,12.95,12.95,95
